,Nombre,Genero,Artistas,Album,Popularidad,Duracion,Explicito
258,Anime In The Background,anime,"Shiki-TMNS, Kodama Boy",Anime In The Background,33.0,235728.0,Verdadero
259,Hentai Bitch,anime,"Shiki-TMNS, Kodama Boy, Big Gay",Hentai Bitch,49.0,171514.0,Verdadero
260,Trap Anthem,anime,"MC Virgins, Yun Head",Trap Anthem,53.0,132790.0,Verdadero
261,ANIMETAL,anime,Within Destruction,ANIMETAL,38.0,233666.0,Verdadero
262,ANIME THIGHS,anime,LIGHTSUNZAYN,ANIME THIGHS,32.0,99657.0,Falso
263,Anime Freak,anime,"Shiki-TMNS, Kodama Boy",sin_album,34.0,133047.0,Verdadero
264,Anime and Chill,anime,"Shiki-TMNS, Kodama Boy",Anime and Chill,34.0,160576.0,Verdadero
266,Anime,anime,Adry HA,Anime,19.0,60000.0,Falso
268,anime,anime,nobigdyl.,SOLAR,18.0,156493.0,Falso
269,Anime Bitch,anime,sin_artista,Anime Bitch,32.0,168657.0,Verdadero
270,Anime,anime,Cole Harris,"Cole's World, Vol. 1",17.0,68330.0,sin_valor
271,Anime Imperfette,anime,Matteo Bocelli,From Scratch (Soundtrack from the Netflix Series),43.0,210586.0,Falso
272,Anime,anime,Greg Maroney,The Journey,27.0,262586.0,Falso
273,Anime & Chardonnay,anime,"Charlie Curtis-Beard, Akintoye",Polaroids of Venice,31.0,133333.0,Verdadero
274,Anime,anime,Negative XP,Gamer 2,19.0,94701.0,Falso
275,Anime Theme Song,anime,Mom Jeans.,Sweet Tooth,30.0,191770.0,Verdadero
276,Anime,anime,A-bug,Relax Time,13.0,185600.0,Falso
